case,month,profile,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
bci,june,peak,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,0.0,2.47,7.04,7.04,6.68,6.65,7.04,7.04,7.04,7.04,7.04,7.04
bci,june,week,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,5.74,4.18,3.49,3.56,0.0,0.0,0.0,0.26,4.82,4.97,6.52,7.04,7.04,7.04,7.04,7.04
bci,june,weekend,4.23,4.23,4.23,4.23,3.08,3.38,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05
bci,march,peak,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14
bci,march,week,4.58,4.85,6.14,6.14,6.14,6.14,6.14,6.14,6.12,3.83,2.78,2.1,1.85,3.1,4.14,5.58,4.49,5.59,6.14,6.14,6.14,5.62,4.66,4.58
bci,march,weekend,4.23,4.23,4.23,4.23,4.23,4.93,3.68,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,4.23
bci,may,peak,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.69,5.69,6.1,6.97,0.0,0.0,1.63,6.97,6.01,5.71,6.97,6.97,6.97,6.97,6.97,6.97
bci,may,week,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,4.41,3.15,1.67,0.75,0.0,0.0,0.0,0.0,0.0,1.28,5.86,6.97,6.97,6.97,6.97,6.97
bci,may,weekend,4.23,4.23,4.23,4.23,3.51,3.03,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62
bci,november,peak,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82
bci,november,week,4.55,4.55,5.17,6.82,6.82,6.82,6.82,6.82,6.58,4.99,3.73,2.67,1.46,3.28,3.48,5.59,6.82,6.82,6.82,6.82,6.82,6.77,4.76,4.55
bci,november,weekend,4.23,4.23,4.23,4.23,4.23,4.58,4.86,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,4.33,4.33,4.34
bci,october,peak,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,6.1,4.15,4.36,7.44,0.0,0.0,0.0,5.89,6.65,7.44,7.44,7.44,7.44,7.44,7.44,7.44
bci,october,week,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,5.05,2.91,2.23,1.63,0.0,0.0,0.0,0.0,0.86,7.03,7.44,7.12,7.12,7.44,7.44,7.44
bci,october,weekend,4.23,4.23,4.23,4.23,4.23,5.49,3.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,4.23,4.23
bci,september,peak,7.57,7.57,7.57,7.57,7.57,7.57,7.57,7.57,7.57,7.57,7.57,7.57,0.0,1.0,7.57,7.57,6.64,7.57,7.57,7.57,7.57,7.57,7.57,7.57
bci,september,week,7.57,7.57,7.57,7.57,7.57,7.57,7.57,7.57,4.95,3.62,3.01,2.15,0.0,0.0,0.0,0.09,4.27,5.58,7.57,7.23,7.16,4.78,7.33,7.57
bci,september,weekend,4.23,4.23,4.23,4.23,4.23,5.1,2.57,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,4.23
