case,month,profile,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
bci,july,peak,0.31,0.29,0.29,0.28,0.31,0.36,0.42,0.36,0.31,0.32,0.34,0.41,0.53,0.69,0.84,0.95,1.34,1.32,1.25,1.11,1.04,0.8,0.62,0.44
bci,july,week,0.3,0.28,0.27,0.27,0.29,0.35,0.4,0.34,0.29,0.29,0.29,0.29,0.31,0.34,0.38,0.48,0.66,0.68,0.68,0.7,0.72,0.59,0.47,0.35
bci,july,weekend,0.31,0.29,0.29,0.28,0.31,0.36,0.42,0.36,0.31,0.3,0.3,0.31,0.32,0.35,0.43,0.54,0.73,0.76,0.78,0.8,0.81,0.66,0.51,0.36
bci,june,peak,0.33,0.32,0.32,0.32,0.34,0.4,0.44,0.38,0.32,0.32,0.31,0.31,0.31,0.32,0.33,0.38,0.52,0.58,0.63,0.65,0.7,0.6,0.5,0.38
bci,june,week,0.3,0.28,0.28,0.27,0.3,0.35,0.39,0.34,0.29,0.29,0.29,0.28,0.29,0.3,0.31,0.36,0.44,0.49,0.54,0.61,0.67,0.57,0.46,0.35
bci,june,weekend,0.32,0.3,0.29,0.29,0.32,0.37,0.42,0.36,0.31,0.3,0.3,0.3,0.3,0.31,0.33,0.38,0.47,0.52,0.57,0.65,0.7,0.6,0.49,0.36
bci,march,peak,0.46,0.41,0.39,0.39,0.39,0.42,0.49,0.54,0.47,0.39,0.37,0.38,0.37,0.38,0.38,0.4,0.48,0.63,0.76,0.86,0.89,0.82,0.69,0.58
bci,march,week,0.42,0.37,0.35,0.35,0.34,0.38,0.44,0.5,0.43,0.36,0.35,0.34,0.34,0.34,0.35,0.37,0.44,0.59,0.71,0.81,0.83,0.77,0.65,0.54
bci,march,weekend,0.44,0.39,0.38,0.38,0.37,0.4,0.47,0.53,0.46,0.38,0.37,0.36,0.35,0.36,0.37,0.39,0.47,0.62,0.74,0.85,0.88,0.81,0.68,0.56
bci,may,peak,0.39,0.37,0.37,0.36,0.39,0.46,0.5,0.44,0.38,0.37,0.37,0.36,0.36,0.37,0.38,0.44,0.54,0.6,0.65,0.74,0.78,0.67,0.55,0.43
bci,may,week,0.34,0.33,0.33,0.32,0.35,0.41,0.46,0.4,0.33,0.33,0.32,0.32,0.32,0.33,0.35,0.41,0.5,0.55,0.61,0.7,0.74,0.62,0.51,0.39
bci,may,weekend,0.36,0.34,0.34,0.34,0.37,0.43,0.48,0.41,0.35,0.34,0.34,0.33,0.34,0.35,0.37,0.43,0.52,0.58,0.64,0.73,0.77,0.65,0.54,0.41
bci,november,peak,0.43,0.38,0.37,0.36,0.35,0.39,0.48,0.54,0.49,0.4,0.39,0.39,0.39,0.39,0.4,0.44,0.57,0.78,0.9,0.89,0.86,0.8,0.67,0.56
bci,november,week,0.39,0.35,0.33,0.33,0.32,0.35,0.42,0.49,0.44,0.35,0.34,0.34,0.33,0.34,0.35,0.39,0.51,0.71,0.82,0.82,0.8,0.74,0.62,0.51
bci,november,weekend,0.41,0.36,0.35,0.34,0.34,0.37,0.44,0.51,0.46,0.38,0.36,0.36,0.35,0.36,0.37,0.41,0.54,0.75,0.86,0.86,0.84,0.78,0.65,0.53
bci,october,peak,0.4,0.35,0.35,0.35,0.39,0.48,0.56,0.53,0.46,0.36,0.35,0.35,0.35,0.36,0.38,0.45,0.58,0.69,0.8,0.83,0.83,0.77,0.64,0.52
bci,october,week,0.33,0.31,0.31,0.3,0.33,0.41,0.5,0.45,0.35,0.33,0.33,0.32,0.33,0.34,0.35,0.42,0.53,0.64,0.75,0.79,0.73,0.61,0.5,0.37
bci,october,weekend,0.34,0.32,0.32,0.31,0.34,0.43,0.52,0.47,0.37,0.35,0.34,0.34,0.35,0.35,0.37,0.44,0.56,0.67,0.78,0.83,0.77,0.64,0.53,0.4
bci,september,peak,0.32,0.3,0.3,0.29,0.32,0.39,0.46,0.41,0.33,0.32,0.31,0.31,0.32,0.34,0.38,0.5,0.67,0.74,0.72,0.81,0.77,0.62,0.49,0.36
bci,september,week,0.3,0.28,0.28,0.27,0.29,0.36,0.43,0.38,0.31,0.3,0.3,0.3,0.3,0.31,0.32,0.38,0.48,0.55,0.64,0.73,0.69,0.57,0.47,0.35
bci,september,weekend,0.31,0.29,0.29,0.28,0.31,0.38,0.46,0.4,0.32,0.31,0.31,0.31,0.32,0.35,0.38,0.46,0.6,0.66,0.72,0.81,0.76,0.62,0.49,0.36
