,node,voltage_magnitude,voltage_angle,active_power,reactive_power,month,hour_of_day,day_of_month,daytype,timezone
222,WECCbus157,1.0327145,-0.75664906,2.5565742,-0.26777143,february,13,6,weekend,
228,WECCbus157,1.0327877,-0.75553136,2.5458399,-0.26792339,february,14,6,weekend,
234,WECCbus157,1.0324702,-0.76044308,2.5912185,-0.26725497,february,15,6,weekend,
240,WECCbus157,1.0316438,-0.7729686,2.7039557,-0.26512963,february,16,6,weekend,
246,WECCbus157,1.0299071,-0.79753497,2.9220745,-0.25851655,february,17,6,weekend,
252,WECCbus157,1.0270618,-0.83492279,3.2339157000000003,-0.24382976,february,18,6,weekend,
258,WECCbus157,1.0254549000000002,-0.85946086,3.3714077000000007,-0.23753412,february,19,6,weekend,
264,WECCbus157,1.025167,-0.86470725,3.3918225,-0.23718282,february,20,6,weekend,
270,WECCbus157,1.0254218000000002,-0.86154105,3.3679474000000003,-0.23870959,february,21,6,weekend,
276,WECCbus157,1.0266164,-0.84677299,3.2520999,-0.24598614,february,22,6,weekend,
282,WECCbus157,1.028278,-0.8249324,3.081759,-0.25473691,february,23,6,weekend,
0,WECCbus54,0.9935159,-1.7575343999999997,2.8621619,0.57638068,february,0,5,weekday,
6,WECCbus54,1.0158498,-1.7269183000000001,2.3770035,-0.14186728,february,1,5,weekday,
12,WECCbus54,1.0161206,-1.7225552,2.3445331,-0.14322054,february,2,5,weekday,
18,WECCbus54,1.0162026,-1.7211900000000002,2.3351981,-0.14358596,february,3,5,weekday,
24,WECCbus54,1.0162378,-1.7206861,2.332337,-0.14368793,february,4,5,weekday,
30,WECCbus54,1.0160489,-1.7237436999999998,2.3573624,-0.14265477,february,5,5,weekday,
36,WECCbus54,1.015487,-1.732851,2.4264031000000004,-0.13963389,february,6,5,weekday,
42,WECCbus54,1.0148129000000001,-1.7440006000000001,2.5103965,-0.13553155,february,7,5,weekday,
48,WECCbus54,1.014924,-1.7421473000000003,2.5269890999999998,-0.13417935,february,8,5,weekday,
54,WECCbus54,1.0163071,-1.7206112,2.4376092999999996,-0.13764401,february,9,5,weekday,
60,WECCbus54,1.0172523999999998,-1.7040421000000001,2.3148079,-0.14266604,february,10,5,weekday,
66,WECCbus54,1.0174317,-1.7003032,2.2711952999999996,-0.14445178,february,11,5,weekday,
72,WECCbus54,1.0175155,-1.6982092,2.2550172,-0.14497654,february,12,5,weekday,
78,WECCbus54,1.0175049999999999,-1.6984675,2.2582952,-0.14485363,february,13,5,weekday,
84,WECCbus54,1.0175001000000001,-1.6984477999999998,2.2570681,-0.14491812,february,14,5,weekday,
90,WECCbus54,1.0173618,-1.7014141999999999,2.2858172999999997,-0.14384356,february,15,5,weekday,
96,WECCbus54,1.0169489,-1.7096624,2.3685113999999996,-0.14044428,february,16,5,weekday,
102,WECCbus54,1.0151337,-1.7388541000000002,2.5410879,-0.13300743,february,17,5,weekday,
108,WECCbus54,1.01481,-1.7473863,2.8036594,-0.11408983,february,18,5,weekday,
114,WECCbus54,1.0132755,-1.7696039000000001,2.8986834,-0.10771291,february,19,5,weekday,
120,WECCbus54,1.0112316,-1.7942084999999999,2.8967662,-0.10955165,february,20,5,weekday,
126,WECCbus54,1.0114318000000002,-1.7915452,2.8721273999999997,-0.11154000000000001,february,21,5,weekday,
132,WECCbus54,1.0123932,-1.7783876,2.771099,-0.11923029,february,22,5,weekday,
138,WECCbus54,1.0138008,-1.7584123999999999,2.6170177000000003,-0.12943076,february,23,5,weekday,
144,WECCbus54,1.0149217,-1.7415143,2.488736,-0.13660638,february,0,6,weekend,
150,WECCbus54,1.0156513,-1.7299929,2.4049162999999996,-0.14056626,february,1,6,weekend,
156,WECCbus54,1.0159255999999999,-1.7255316000000003,2.3729722,-0.14193808,february,2,6,weekend,
162,WECCbus54,1.0160374,-1.7238232,2.360266,-0.14247698,february,3,6,weekend,
168,WECCbus54,1.0160582,-1.7234918999999997,2.3572056,-0.14260951,february,4,6,weekend,
174,WECCbus54,1.0158668,-1.7266332999999998,2.3814182,-0.14159136,february,5,6,weekend,
