,name,FullServiceRestaurant,Hospital,LargeHotel,LargeOffice,MediumOffice,MidriseApartment,OutPatient,PrimarySchool,QuickServiceRestaurant,ResidBase,ResidHigh,ResidLow,SecondarySchool,SmallHotel,SmallOffice,Stand-aloneRetail,StripMall,SuperMarket,Warehouse
284,N_1100080452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65181.0,0.0,0.0,0.0,0.0,62.0,0.0,269.0
285,N_1100080101,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26070.0,0.0,0.0,0.0,0.0,498.0,0.0,133.0
286,N_1100075043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,N_1100044787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2178.0,0.0,1153.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
288,N_1100123643,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4722.0,0.0,0.0,0.0,0.0,30.0,0.0,20.0
289,N_1100123642,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10349.0,0.0,0.0,0.0,0.0,43.0,0.0,43.0
290,N_1100065341,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17530.0,0.0,0.0,0.0,0.0,178.0,0.0,79.0
291,N_1100059609,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1346.0,0.0,0.0,0.0,0.0,0.0,454.0,0.0,47.0
292,N_1100065343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76147.0,0.0,0.0,0.0,0.0,111.0,0.0,314.0
293,N_1100075044,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,16.0
294,N_1100042559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4246.0,0.0,0.0,0.0,0.0,16.0,0.0,18.0
295,N_1100161781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65509.0,0.0,0.0,0.0,0.0,69.0,0.0,270.0
296,N_1100001303,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79193.0,0.0,0.0,0.0,0.0,336.0,0.0,333.0
297,N_1100001302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37178.0,0.0,0.0,0.0,0.0,65.0,0.0,153.0
298,N_1100123598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69603.0,0.0,0.0,0.0,0.0,39.0,0.0,288.0
299,N_1100123722,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3810.0,0.0,0.0,0.0,0.0,69.0,0.0,19.0
300,N_1100044781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68136.0,0.0,0.0,0.0,0.0,105.0,0.0,281.0
301,N_1100044782,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40763.0,0.0,0.0,0.0,0.0,266.0,0.0,176.0
302,N_1100044783,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60135.0,0.0,0.0,0.0,0.0,495.0,0.0,266.0
303,N_1100123726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0
