case,month,profile,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
bci,april,week,16.45,16.68,16.87,17.08,17.25,19.94,36.21,54.71,66.09,66.09,66.09,59.92,66.09,66.09,66.09,66.09,19.48,6.24,10.21,14.94,15.27,15.57,15.84,16.16
bci,april,weekend,17.57,17.79,17.99,18.2,18.4,12.7,13.35,13.75,18.22,18.12,17.83,12.55,12.47,12.56,12.41,7.08,7.04,7.25,11.25,16.57,16.59,17.18,17.25,17.67
bci,august,peak,15.42,15.42,15.42,15.42,15.42,22.09,38.11,57.59,70.61,73.33,78.81,76.53,86.91,89.69,91.36,91.75,34.79,16.74,19.68,17.44,15.43,15.42,15.42,15.42
bci,august,week,14.75,14.75,14.75,14.75,14.75,18.28,36.46,55.09,66.61,67.1,68.45,64.49,73.88,76.38,77.93,78.42,25.33,9.8,9.83,14.61,14.75,14.75,14.75,14.75
bci,august,weekend,15.42,15.42,15.42,15.42,15.42,7.98,12.06,12.56,17.41,17.49,17.74,13.53,15.07,16.2,17.41,10.49,9.57,9.76,8.97,15.53,15.42,15.42,15.42,15.42
bci,december,peak,21.76,21.29,22.27,21.85,22.59,22.33,26.74,42.77,57.79,69.76,69.76,69.67,63.07,69.57,69.57,69.57,75.51,33.78,20.07,21.92,20.93,22.62,21.42,23.05
bci,december,week,18.25,18.99,18.48,19.27,18.71,19.42,25.17,38.03,52.78,63.48,63.46,63.36,57.49,63.32,63.33,63.32,68.68,29.34,17.02,18.02,17.59,18.48,17.89,18.74
bci,december,weekend,20.03,20.41,20.27,20.68,20.58,20.9,20.73,18.13,15.54,19.68,19.58,18.87,13.49,13.12,13.2,12.94,14.3,18.19,19.25,19.07,19.92,19.54,20.24,19.79
bci,february,peak,21.48,21.89,21.71,22.25,21.51,22.37,26.74,39.8,57.79,69.67,69.57,69.57,63.07,69.57,69.57,69.57,69.57,30.27,18.37,20.04,19.22,21.06,19.99,21.62
bci,february,week,18.53,18.72,18.82,18.99,19.07,19.18,24.31,35.32,52.38,63.05,63.08,63.03,57.21,63.01,63.01,62.98,63.0,25.06,16.56,17.36,17.53,18.07,18.09,18.55
bci,february,weekend,19.95,20.11,20.25,20.39,20.51,20.64,19.64,15.06,15.1,19.24,18.97,18.43,13.0,12.78,12.81,12.61,7.94,13.4,18.25,18.31,19.25,18.98,19.85,19.4
bci,january,peak,21.21,22.87,21.74,23.29,21.84,23.26,26.74,42.77,57.79,69.76,69.76,69.76,63.27,69.57,69.57,69.57,74.03,33.93,19.84,21.28,20.18,21.54,20.64,22.14
bci,january,week,18.6,19.19,18.77,19.37,18.91,19.47,25.15,38.86,52.93,63.71,63.72,63.66,57.76,63.6,63.61,63.6,65.33,29.66,17.29,18.42,17.83,18.97,18.17,19.26
bci,january,weekend,19.67,19.71,19.85,19.91,19.99,20.04,20.15,17.45,14.61,18.09,18.3,17.64,13.13,12.56,12.8,12.44,10.9,17.8,19.12,18.52,19.67,18.8,19.92,18.96
bci,july,peak,15.42,15.42,15.42,15.42,13.93,17.62,38.11,58.8,75.28,79.58,83.12,79.66,91.11,95.86,98.34,99.54,42.84,22.71,24.84,21.12,18.84,15.97,15.58,15.42
bci,july,week,14.68,14.68,14.68,14.68,11.92,16.25,34.79,52.43,63.41,64.37,66.27,63.11,71.65,73.83,75.57,75.43,24.68,10.19,9.29,12.2,14.72,14.68,14.68,14.68
bci,july,weekend,15.42,15.42,15.42,15.42,12.74,6.49,12.06,12.57,17.47,17.66,18.21,13.8,14.91,17.12,19.22,11.79,12.15,11.77,10.64,13.15,15.42,15.42,15.42,15.42
bci,june,peak,16.44,17.16,17.0,17.85,12.88,17.62,38.11,57.59,69.69,70.27,71.91,68.93,78.2,79.87,81.07,79.35,22.69,7.6,7.16,12.44,15.42,15.42,15.65,16.23
bci,june,week,14.72,14.72,14.72,14.72,10.49,16.82,36.38,54.97,66.4,66.42,66.57,60.65,67.76,69.09,70.2,70.61,19.72,6.24,6.21,10.86,14.72,14.72,14.72,14.74
bci,june,weekend,15.51,15.63,15.67,15.79,11.3,6.74,12.09,12.56,17.41,17.41,17.41,12.06,12.09,12.16,12.43,7.05,6.93,6.74,6.55,11.7,15.42,15.42,15.42,15.42
bci,march,peak,20.47,20.55,21.2,20.98,21.67,26.55,41.09,57.59,69.57,69.57,69.57,69.57,69.57,69.57,69.57,69.57,69.57,25.04,18.14,18.94,19.37,19.9,19.92,20.49
bci,march,week,17.75,17.89,18.05,18.13,18.24,22.59,31.29,48.32,62.37,66.54,66.54,62.31,64.28,66.54,66.54,66.54,34.75,11.64,15.3,16.35,16.75,17.08,17.37,17.58
bci,march,weekend,19.07,19.5,19.47,19.94,19.86,20.12,14.65,14.49,16.51,18.64,18.3,15.38,12.53,12.47,12.4,9.69,7.16,8.24,16.76,17.63,18.06,18.22,18.44,18.51
bci,may,peak,18.4,18.88,18.89,18.78,17.86,17.62,38.11,57.59,69.57,69.57,69.57,63.07,69.81,70.38,71.44,72.45,20.49,6.49,7.98,15.64,16.16,16.44,17.36,17.17
bci,may,week,15.55,15.8,15.93,16.19,14.05,16.37,35.08,52.87,63.8,63.8,63.8,57.87,63.8,63.8,63.87,63.92,18.99,6.21,6.47,13.91,14.79,14.84,14.94,15.12
bci,may,weekend,16.21,16.23,16.77,16.69,14.39,7.73,12.72,12.94,17.69,17.53,17.43,12.06,12.06,12.06,12.06,6.54,6.54,6.59,6.98,14.92,15.88,16.04,16.15,16.41
bci,november,peak,20.51,20.43,20.55,20.45,20.61,26.55,42.58,57.59,69.57,69.57,69.57,69.57,69.57,69.57,69.57,69.57,75.51,32.09,18.05,19.15,18.58,19.84,19.22,20.34
bci,november,week,17.55,17.92,17.77,18.15,17.94,19.17,25.52,37.09,53.95,63.65,63.64,62.69,58.24,63.54,63.54,63.54,60.53,26.49,16.23,16.87,16.94,17.38,17.29,17.72
bci,november,weekend,18.47,18.42,18.71,18.64,18.91,18.75,18.37,13.04,14.37,16.38,16.11,14.48,11.6,11.41,11.27,9.89,11.11,16.92,17.66,17.73,18.29,18.11,18.55,18.28
bci,october,peak,18.81,19.51,19.47,20.05,19.91,26.55,42.58,57.59,69.57,69.57,69.57,63.07,69.57,69.57,69.92,70.08,21.98,15.42,15.98,16.73,16.77,17.7,17.92,18.76
bci,october,week,16.2,16.42,16.64,16.8,17.02,24.95,36.95,52.75,63.59,63.55,63.54,57.63,63.54,63.54,63.54,63.54,18.99,12.62,14.72,14.79,14.93,15.15,15.35,15.67
bci,october,weekend,16.53,16.81,17.0,17.3,17.56,17.85,14.82,12.95,16.99,16.6,16.42,11.49,11.45,11.44,11.44,6.49,6.82,13.51,15.7,15.94,16.12,16.39,16.75,16.9
bci,september,peak,15.42,15.42,15.42,15.42,15.61,26.55,38.11,57.59,69.57,70.13,71.0,67.1,77.65,76.96,77.01,78.37,28.47,11.28,15.42,15.42,15.42,15.42,15.42,15.42
bci,september,week,14.68,14.68,14.68,14.68,14.69,21.99,34.79,52.42,63.25,63.29,63.42,57.69,64.02,64.41,64.49,64.71,18.99,6.84,13.49,14.68,14.68,14.68,14.68,14.68
bci,september,weekend,15.42,15.42,15.42,15.42,15.45,12.74,12.72,13.24,18.63,18.63,18.73,12.88,13.43,14.29,15.05,8.15,7.97,8.17,14.58,15.42,15.42,15.42,15.42,15.42
